"game_date","headshot","name","total","roll"
2023-01-08,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",21,NA
2023-01-08,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",13,37
2023-01-07,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",8,33
2023-01-05,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",23,46
2023-01-04,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",12,39
2023-01-03,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",10,30
2022-12-31,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",14,35
2022-12-31,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",2,31
2022-12-28,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",6,12
2022-12-28,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",12,NA
2022-12-28,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",9,39
2022-12-21,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",4,27
2022-12-21,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",16,36
2022-12-20,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",NA,NA
2022-12-17,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106060.png","Jarace Walker",17,30
2022-12-17,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4712896.png","Noah Clowney",9,NA
2022-12-17,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",11,44
2022-12-14,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684806.png","Taylor Hendricks",17,44
