athlete_display_name,minutes,fg_perc,ts_perc
Steven Adams,1133,0.597,0.564
Giannis Antetokounmpo,2117,0.553,0.603
Stephen Curry,2435,0.488,0.641
Bruce Brown,2814,0.489,0.578
Alec Burks,1125,0.436,0.602
Norman Powell,1735,0.478,0.612
Jakob Poeltl,1908,0.629,0.635
Ja Morant,2158,0.464,0.555
Pascal Siakam,2666,0.481,0.566
Anfernee Simons,2176,0.447,0.581
